rep,placebo_func,placebo_bhci
386,-0.007829091261871418,-0.010329378096976836
387,-0.018271571173819383,0.0021707988965526184
388,-7.255102200947579e-4,0.003667341043522703
389,0.006616784325142276,0.00325149711889315
390,-0.009904174553949381,-1.1851613184642997e-5
391,0.00503955465672241,-0.00230524516501613
392,0.014681577008486515,0.007848709933706392
393,0.00905650671825348,-2.5094366671873214e-4
394,-0.010417987340218959,-0.0014560689507711277
395,0.006219646913712789,0.0012640217186105523
396,-6.719097744749057e-4,0.01048873304969701
397,0.019149526604215525,0.005506390574831799
398,0.020039499704942697,0.010841080653935867
399,0.0010206327406927494,-0.001277116127162058
400,0.013421630183984989,0.013960915434693615
401,0.006029911443623766,0.004136487375996797
402,-0.011513121416276893,0.0011931285797264107
403,-0.0059190966780695055,-0.0012450704727913844
404,-0.0019635727233833153,7.108068286134674e-5
405,0.014720455423630575,0.010025761260995057
406,-0.007911213595779882,-0.0051284580843169655
407,0.014276143667708994,0.0024929047774838757
408,0.022547257273637936,0.003972622110778733
409,-0.0020504722537254168,0.0016925557408342775
410,0.008970549286546753,0.0029033680143128768
411,0.001505830855092309,0.00179351562820223
412,-0.008007083809536429,0.0012943968641829298
413,0.010339526791728035,0.003394540849800777
414,-0.009336421533593283,-0.007555944263147189
415,-0.007126093643515699,0.00287875892641011
416,0.004771326171457206,-0.006469327982441974
417,0.002643558848996456,0.0016515990241537434
418,0.012512599332590356,0.0035772838571476065
419,-9.015858041002229e-4,-0.002662592395911935
420,0.0075396364685685734,0.0076252499870491045
421,-0.002909238511416055,0.006637253548832694
422,-0.014968963352687267,-0.001519857724866155
423,-0.013498066615699644,-0.007249075548086349
424,-0.009988259737948207,-0.001355445334284549
425,-0.005337716369071138,0.00393330755742465
426,0.027660401111239418,0.01099779847161347
427,0.01581216015942865,0.006230201902411614
428,0.005617738470019537,0.004496071781139179
429,-0.012857704674912398,-0.0029148446294942824
430,-0.003711424854092083,-0.002363069010540827
431,0.01427677663717707,0.01603359800035765
432,0.007837222201158966,0.007910741429958906
433,0.005998847572012822,-2.045070791636878e-4
434,0.015110155685398812,0.009582490297324286
435,-0.005036755964750486,-0.013741132116796824
436,0.008215263781163218,0.007049662610255112
437,0.02033968894750884,9.210131580734954e-4
438,0.001963688440850774,0.002070787252948484
439,9.479002628336749e-4,-0.0029746260829074784
440,0.015600487571320132,0.005071673015877603
441,-0.011804286683379154,-0.009948467024241578
442,0.005800272466609082,0.005371528815660842
443,0.005066836150042766,0.011304617702456176
444,-0.003908218015586701,-7.543286018144528e-4
445,-0.007976103362518657,-0.0030399082710118918
446,-0.0052566018314277995,0.0029648146088486873
447,0.009021406584963533,0.005336438366562382
448,0.005202169602934596,0.0066174389898043815
449,-0.01812411270256852,-0.011730398886263179
450,-0.007603203584370033,-0.0037405083541825943
451,0.007128918145079954,0.0029133475163014297
452,-0.010048534161934988,-0.004222507081128979
453,-0.006419868097556306,0.0015971574802177133
454,-0.035192974321105464,-0.009703929582368409
455,-0.008091939162494144,-0.010580845375913504
456,-0.010023255817370305,0.002743291323202407
457,0.004041122063051386,-2.557535158381343e-4
458,0.003779792897193668,-6.196007291471075e-4
459,-0.010008440191346292,-0.0035357887490622274
460,0.013958100650089037,3.8967495124022077e-4
461,0.0044632014368854315,-0.0050175256975472475
462,0.015917164387668856,0.006325377478033373
463,-0.010090300573873272,3.334375066260891e-5
464,-0.0034068134445922353,0.0015633341083453249
465,-0.025296690928310366,-0.010419723475490403
466,0.014468772057220082,0.011884348687670862
467,-0.005625344394453124,-0.0023306901195686946
468,0.0013220159365584234,-4.471199031706117e-4
469,-6.787464787405721e-4,0.0033314561918707714
470,0.0051244110847763515,-0.0032264962777628606
471,-0.00812480477902335,-0.004204382126524245
472,-0.007984869387730407,-0.008063179923769094
473,0.015457273192440198,0.0054152624644247865
474,0.018449387188441045,0.011410473857727149
475,-0.020584324822156184,-0.01194051749669832
476,0.015415398989660281,0.012485300632743931
477,-0.0048525632426574435,-0.0015988507686086144
478,-0.0032819330094282823,0.004208554627267798
479,-8.060560355785865e-4,0.005712432998716141
480,0.0011971073084977109,0.0013938442072840625
481,0.02408527695821152,0.006793276976729713
482,-0.0029834605326613827,-0.0049774283543562595
483,-0.012361142282720726,-0.017345083379196102
484,-0.010662763770905527,-0.009966776147603666
485,-0.0044562186281386276,0.0033232632535820134
486,-0.023926226094815144,-0.015624055285816042
487,0.004730629888333901,0.0053426735612634915
488,-0.013447488795257317,-0.00965533046834725
489,0.005607054101592016,0.0024607517713621722
490,-0.0057056666841197486,-0.011293675340133503
491,0.002843992471988136,0.0056356844824400325
492,-0.006222238915761776,0.001178451934572728
493,-0.0036827985710645834,0.007137811150573244
494,0.008261737372152944,-0.005468780336742941
495,-0.009370722372984095,-0.01062564684662966
496,0.008973318312696783,0.01108912428218482
497,-0.005340143544363708,-0.003023124196397104
498,-0.006411743088854268,-1.7022310408191637e-4
499,-0.02626465845931917,-0.010416678850498691
500,0.023506697900314913,0.005116881747988398
